group,elements,m0_l2,cot_update_l2,coconut_update_l2,cot_relative_l2,coconut_relative_l2,coconut_to_cot_update_ratio,update_cosine,cot_update_rms,coconut_update_rms
down_proj,896532480,664.4913037996189,3.4342040489515964,3.0824950523286723,0.0051681700412247985,0.004638879447635655,0.8975864591592061,0.358708930963784,0.00011469462926001051,0.0001029483461620707
embeddings,388280320,417.8877367913635,2.7964351466524597,2.9918566357492713,0.0066918334769144475,0.0071594745965062835,1.0698823605227339,0.8656697323183531,0.00014191622895716962,0.0001518336700331814
final_norm,2560,141.28264279892983,0.0,0.0,0.0,0.0,,,0.0,0.0
gate_proj,896532480,726.6983842055128,3.406564982996822,2.982007894157189,0.0046877288529011425,0.00410350147870133,0.8753709114727817,0.3170349678626484,0.00011377154711998928,9.959230290209354e-05
input_layernorm,92160,507.2028937843548,0.0045507899037309655,0.004616329903638375,8.972326379639713e-06,9.101544885114711e-06,1.0144018953399006,0.5258970577759204,1.4990480467383585e-05,1.5206371798169666e-05
k_proj,94371840,208.234366829615,1.1620882579343403,1.0645750562691596,0.005580674677418658,0.00511238885529512,0.9160879554548512,0.3010818317325414,0.00011962388467479668,0.00010958599993530139
o_proj,377487360,430.5132609594488,2.187595223478725,2.118120014346912,0.005081365481294153,0.0049199878527003684,0.9682412868769511,0.402216992567978,0.00011259413256344115,0.00010901828780802029
other,9216,184.3280652324117,0.0036239161476678094,0.0037133864854721256,1.9660143142600463e-05,2.0145529552377546e-05,1.0246888543107973,0.26397798892714225,3.7749126538206346e-05,3.868110922366798e-05
post_attention_layernorm,92160,267.6761008896532,0.013707117556084294,0.013454403757251055,5.120784975022824e-05,5.026374679149074e-05,0.9815633157154136,0.5298354234578277,4.515178295094495e-05,4.4319333783792205e-05
q_proj,377487360,438.6169551308374,2.2736580960731945,2.081153112999108,0.0051836985996014965,0.004744807715831025,0.9153324840676091,0.30426375490383295,0.00011702373379025445,0.00010711562494510022
up_proj,896532480,679.0599742494843,3.381404594189889,2.9770903744253787,0.0049795374818359895,0.0043841346675096565,0.8804300968718074,0.3380605091824568,0.00011293124717708696,9.942806889197672e-05
v_proj,94371840,237.22634187685279,1.070116640142324,1.0303148448903379,0.004510951994942599,0.004343172165193979,0.9628061149981813,0.39498510056646524,0.0001101564435187668,0.00010605929742632045
