group,elements,m0_l2,cot_update_l2,coconut_update_l2,cot_relative_l2,coconut_relative_l2,coconut_to_cot_update_ratio,update_cosine,cot_update_rms,coconut_update_rms
embeddings,388280320,417.8877367913635,2.7964351466524597,2.9918566357492713,0.0066918334769144475,0.0071594745965062835,1.0698823605227339,0.8656697323183531,0.00014191622895716962,0.0001518336700331814
final_norm,2560,141.28264279892983,0.0,0.0,0.0,0.0,,,0.0,0.0
layer_00,100930816,232.14206755472927,0.9788659102778682,0.799928179762445,0.004216667494128754,0.003445856187068963,0.8171989353836742,0.24554298491558527,9.743417493470278e-05,7.962310402662578e-05
layer_01,100930816,196.93359166101533,1.2617131957457324,0.9957396404968216,0.006406795230330932,0.0050562203842339035,0.7891965019104775,0.14495252783292617,0.0001255881760115802,9.911374918965644e-05
layer_02,100930816,194.06533162727885,1.1121169832793654,0.9537836468769887,0.005730631916345023,0.004914755453121436,0.8576288836669954,0.2584360552880802,0.00011069769573029286,9.493754121367979e-05
layer_03,100930816,217.28037420124028,1.114463168349615,0.8429449825201267,0.0051291478691831765,0.0038795265592621343,0.7563686324137802,0.2612053000658037,0.00011093122986828219,8.39049026274513e-05
layer_04,100930816,242.96619829315972,0.9854358674110426,0.8510036335901618,0.004055855811770282,0.0035025597781439227,0.8635809409149436,0.2749497409075193,9.80881341194143e-05,8.4707043155435e-05
layer_05,100930816,241.01657188390274,0.9732834792973107,0.8499059041442605,0.004038242979267582,0.0035263380335260044,0.8732357244549901,0.26457531991312727,9.687851194653504e-05,8.459777756375393e-05
layer_06,100930816,238.2517626157808,0.9900018374659401,0.866770967269207,0.00415527602648832,0.003638046399963111,0.8755246045682489,0.26099664604337963,9.854262080692108e-05,8.627648911509847e-05
layer_07,100930816,238.10948416555138,0.9845082859764204,0.8546819506990098,0.004134687408301288,0.0035894494236305657,0.8681307845482978,0.24594346326522928,9.799580468918467e-05,8.507317480726365e-05
layer_08,100930816,236.55138769619614,0.9900223458510742,0.8824640761580781,0.004185231612855993,0.003730538572411294,0.891357735364515,0.25607231500447997,9.854466216678845e-05,8.783854690124976e-05
layer_09,100930816,236.85496087575424,1.0072910198191254,0.8688456242130311,0.004252775690636747,0.0036682601918091,0.8625567061732028,0.24497412056801549,0.00010026354825999792,8.648299593638176e-05
layer_10,100930816,238.92335076013845,1.0169671519631136,0.9046085303954333,0.004256457766591739,0.0037861871914880102,0.8895159776293781,0.25987395964647214,0.00010122668932161792,9.004275751410429e-05
layer_11,100930816,239.01984192272337,1.028995202463608,0.9084236117305005,0.004305061848364407,0.003800620084186147,0.8828258961320359,0.2477029085329069,0.00010242393520002013,9.042250237832734e-05
layer_12,100930816,238.67586094001837,1.0404602003131214,0.9420636508224907,0.0043593021775025645,0.003947042013851752,0.9054297805326732,0.2511075590430888,0.00010356513604721111,9.37709584020628e-05
layer_13,100930816,236.74867646150508,1.0586635696043276,0.9723193052188028,0.004471676823825726,0.0041069682827853116,0.918440317713213,0.25018058521245173,0.00010537705967157853,9.678254016444878e-05
layer_14,100930816,234.6763414353739,1.0856720365489834,1.0122182232110428,0.004626252607777082,0.004313252102959819,0.9323425391231154,0.25900532309830193,0.00010806542348665583,0.00010075399132496344
layer_15,100930816,231.41310865089028,1.1148473362630336,1.060625267701335,0.00481756345940148,0.004583254915353105,0.9513636829025839,0.25819145056098824,0.00011096946910338816,0.00010557232281594387
layer_16,100930816,232.400117580627,1.1404981174619337,1.0822919404397229,0.0049074765079077836,0.004657019762755676,0.9489642498036358,0.2689082109769911,0.00011352269184442321,0.0001077289761018324
layer_17,100930816,231.69134747151017,1.154104292140257,1.1130931909491997,0.004981214468020524,0.004804206989585879,0.9644649955204627,0.2823129255714973,0.0001148770207569742,0.00011079486530977923
layer_18,100930816,230.6396832679164,1.1823400748781172,1.1446834042460543,0.005126351450564053,0.004963080888887466,0.9681507280078071,0.29009091849354274,0.00011768754890573564,0.00011393928615054237
layer_19,100930816,231.90180469648004,1.2217137286428694,1.1623929036366099,0.005268237262068248,0.005012435781420434,0.9514445785330123,0.30241168553071707,0.00012160671641218633,0.00011570205104357617
layer_20,100930816,231.74085014247242,1.234312760168685,1.1603960412620478,0.005326263191879375,0.005007300355326415,0.9401150816130788,0.3135172767817651,0.0001228607964948666,0.00011550328772381935
layer_21,100930816,230.90063819978786,1.246221841056294,1.1756114735532297,0.005397221292987483,0.0050914171685226195,0.9433404509720235,0.33401133433314883,0.00012404620039782344,0.00011701779862464877
layer_22,100930816,236.57342708854463,1.2597164756788852,1.1599514749192017,0.005324843500734336,0.004903135103525619,0.9208036072514506,0.36534610511240834,0.00012538942685682254,0.0001154590365609541
layer_23,100930816,241.52493394353857,1.2476503295191008,1.138868639321944,0.0051657206117309805,0.004715325331951765,0.9128107550461787,0.38308632745034193,0.00012418838901969283,0.00011336049714903438
layer_24,100930816,245.60598890973745,1.253695148937208,1.1323286042788687,0.0051044974697174545,0.004610346064057137,0.9031929374846629,0.4060266146216413,0.00012479007714311042,0.00011270951634382358
layer_25,100930816,245.22748595323355,1.235664166100622,1.103276111670876,0.005038848566658107,0.004498990426714556,0.8928608127825522,0.4167420180446153,0.00012299531248995601,0.00010981769467822613
layer_26,100930816,250.71608360990422,1.222325376224633,1.0961243846045532,0.004875336909483962,0.004371974740599578,0.8967533571053937,0.414808130135959,0.00012166759847667975,0.00010910582738491365
layer_27,100930816,252.685373497827,1.2129864253133023,1.0903969945446146,0.004800382422308007,0.0043152358977121075,0.89893585928876,0.42621340449650746,0.00012073801969857835,0.00010853573548656476
layer_28,100930816,254.30710061885983,1.215608390767408,1.0787861367488865,0.004780080413835116,0.004242060619320678,0.8874454511356685,0.4267023300312024,0.00012099900441369175,0.00010738001605887543
layer_29,100930816,266.3821604073756,1.2086602668468236,1.0660642002204666,0.004537316857098957,0.00400201048970451,0.8820213830654295,0.42544276780717777,0.00012030740333285113,0.00010611370228065182
layer_30,100930816,274.8607152650602,1.2070125083756267,1.0634724630119545,0.004391360574069858,0.0038691322693619624,0.8810782453639644,0.43510554279880964,0.0001201433890532169,0.00010585572641908846
layer_31,100930816,284.3889091829352,1.213653972179799,1.090274981288286,0.004267585454252393,0.0038337464861787516,0.8983408832173831,0.4401911277266702,0.000120804465855794,0.00010852359055349818
layer_32,100930816,300.10431040255384,1.2246608234832235,1.0987233884018384,0.0040807838509233285,0.0036611383119690387,0.897165457842287,0.46578326469080045,0.00012190006379634715,0.00010936452654685379
layer_33,100930816,345.119481944481,1.23124107236782,1.1122297021635965,0.00356757916252867,0.003222738096084995,0.903340318256805,0.47856805546482567,0.00012255504739951877,0.00011070891552185911
layer_34,100930816,346.37219979439067,1.2258651980477158,1.1193723193978877,0.0035391558525060592,0.003231703699264422,0.9131283938728123,0.5108973143090854,0.0001220199446102273,0.00011141987604238639
layer_35,100930816,332.5910930016662,1.2163989808951665,1.1315795648443148,0.0036573408202758835,0.003402314700107275,0.9302700697854648,0.5280376810330922,0.00012107769802841555,0.00011263495859435757
